SimulationPolicy	ACInventory	SRC	RCInventory	Period	AnalysisType	Response	DemandSignal	ResponseType
MaxUtilization	16	770200R00	12	Surge	Dynamic	3	SteadyState	Surplus
MaxUtilization	16	770200R00	12	PostSurge	Dynamic	9	SteadyState	Surplus
MaxUtilization	16	770200R00	16	PreSurge	Dynamic	0.463073566	SteadyState	Fill
MaxUtilization	16	770200R00	16	Surge	Dynamic	0.279925204	SteadyState	Fill
MaxUtilization	16	770200R00	16	PostSurge	Dynamic	0.444281532	SteadyState	Fill
MaxUtilization	16	770200R00	16	PreSurge	Dynamic	7	SteadyState	Surplus
MaxUtilization	16	770200R00	16	Surge	Dynamic	5	SteadyState	Surplus
MaxUtilization	16	770200R00	16	PostSurge	Dynamic	0	SteadyState	Surplus
MaxUtilization	19	770200R00	4	PreSurge	Dynamic	0.123691812	SteadyState	Fill
MaxUtilization	19	770200R00	4	Surge	Dynamic	0.994256575	SteadyState	Fill
MaxUtilization	19	770200R00	4	PostSurge	Dynamic	0.543307996	SteadyState	Fill
MaxUtilization	19	770200R00	4	PreSurge	Dynamic	1	SteadyState	Surplus
MaxUtilization	19	770200R00	4	Surge	Dynamic	0	SteadyState	Surplus
MaxUtilization	19	770200R00	4	PostSurge	Dynamic	4	SteadyState	Surplus
MaxUtilization	19	770200R00	8	PreSurge	Dynamic	0.64635876	SteadyState	Fill
MaxUtilization	19	770200R00	8	Surge	Dynamic	0.379458522	SteadyState	Fill
MaxUtilization	19	770200R00	8	PostSurge	Dynamic	0.62825036	SteadyState	Fill
MaxUtilization	19	770200R00	8	PreSurge	Dynamic	6	SteadyState	Surplus
MaxUtilization	19	770200R00	8	Surge	Dynamic	1	SteadyState	Surplus
MaxUtilization	19	770200R00	8	PostSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	19	770200R00	12	PreSurge	Dynamic	0.437519266	SteadyState	Fill
MaxUtilization	19	770200R00	12	Surge	Dynamic	0.93320953	SteadyState	Fill
MaxUtilization	19	770200R00	12	PostSurge	Dynamic	0.382515494	SteadyState	Fill
MaxUtilization	19	770200R00	12	PreSurge	Dynamic	2	SteadyState	Surplus
MaxUtilization	19	770200R00	12	Surge	Dynamic	6	SteadyState	Surplus
MaxUtilization	19	770200R00	12	PostSurge	Dynamic	2	SteadyState	Surplus
MaxUtilization	19	770200R00	16	PreSurge	Dynamic	0.801852509	SteadyState	Fill
MaxUtilization	19	770200R00	16	Surge	Dynamic	0.06415712	SteadyState	Fill
MaxUtilization	19	770200R00	16	PostSurge	Dynamic	0.900073817	SteadyState	Fill
MaxUtilization	19	770200R00	16	PreSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	19	770200R00	16	Surge	Dynamic	6	SteadyState	Surplus
MaxUtilization	19	770200R00	16	PostSurge	Dynamic	3	SteadyState	Surplus
MaxUtilization	10	770200R00	4	PreSurge	Dynamic	0.957844978	SS+Surge	Fill
MaxUtilization	10	770200R00	4	Surge	Dynamic	0.689798911	SS+Surge	Fill
MaxUtilization	10	770200R00	4	PostSurge	Dynamic	0.087409272	SS+Surge	Fill
MaxUtilization	10	770200R00	4	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	10	770200R00	4	Surge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	10	770200R00	4	PostSurge	Dynamic	6	SS+Surge	Surplus
MaxUtilization	10	770200R00	8	PreSurge	Dynamic	0.001915988	SS+Surge	Fill
MaxUtilization	10	770200R00	8	Surge	Dynamic	0.320219736	SS+Surge	Fill
MaxUtilization	10	770200R00	8	PostSurge	Dynamic	0.215331314	SS+Surge	Fill
MaxUtilization	10	770200R00	8	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	10	770200R00	8	Surge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	10	770200R00	8	PostSurge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	10	770200R00	12	PreSurge	Dynamic	0.298692411	SS+Surge	Fill
MaxUtilization	10	770200R00	12	Surge	Dynamic	0.923684818	SS+Surge	Fill
MaxUtilization	10	770200R00	12	PostSurge	Dynamic	0.961294156	SS+Surge	Fill
MaxUtilization	10	770200R00	12	PreSurge	Dynamic	5	SS+Surge	Surplus
MaxUtilization	10	770200R00	12	Surge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	10	770200R00	12	PostSurge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	10	770200R00	16	PreSurge	Dynamic	0.409646774	SS+Surge	Fill
MaxUtilization	10	770200R00	16	Surge	Dynamic	0.12399954	SS+Surge	Fill
MaxUtilization	10	770200R00	16	PostSurge	Dynamic	0.953191389	SS+Surge	Fill
MaxUtilization	10	770200R00	16	PreSurge	Dynamic	8	SS+Surge	Surplus
MaxUtilization	10	770200R00	16	Surge	Dynamic	9	SS+Surge	Surplus
MaxUtilization	10	770200R00	16	PostSurge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	13	770200R00	4	PreSurge	Dynamic	0.846663138	SS+Surge	Fill
MaxUtilization	13	770200R00	4	Surge	Dynamic	0.924264191	SS+Surge	Fill
MaxUtilization	13	770200R00	4	PostSurge	Dynamic	0.999517405	SS+Surge	Fill
MaxUtilization	13	770200R00	4	PreSurge	Dynamic	8	SS+Surge	Surplus
MaxUtilization	13	770200R00	4	Surge	Dynamic	6	SS+Surge	Surplus
MaxUtilization	13	770200R00	4	PostSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	13	770200R00	8	PreSurge	Dynamic	0.308406541	SS+Surge	Fill
MaxUtilization	13	770200R00	8	Surge	Dynamic	0.695967408	SS+Surge	Fill
MaxUtilization	13	770200R00	8	PostSurge	Dynamic	0.791163299	SS+Surge	Fill
MaxUtilization	13	770200R00	8	PreSurge	Dynamic	1	SS+Surge	Surplus
MaxUtilization	13	770200R00	8	Surge	Dynamic	3	SS+Surge	Surplus
MaxUtilization	13	770200R00	8	PostSurge	Dynamic	4	SS+Surge	Surplus
MaxUtilization	13	770200R00	12	PreSurge	Dynamic	0.82974507	SS+Surge	Fill
MaxUtilization	13	770200R00	12	Surge	Dynamic	0.546938974	SS+Surge	Fill
MaxUtilization	13	770200R00	12	PostSurge	Dynamic	0.106669959	SS+Surge	Fill
MaxUtilization	13	770200R00	12	PreSurge	Dynamic	9	SS+Surge	Surplus
MaxUtilization	13	770200R00	12	Surge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	13	770200R00	12	PostSurge	Dynamic	5	SS+Surge	Surplus
MaxUtilization	13	770200R00	16	PreSurge	Dynamic	0.448885217	SS+Surge	Fill
MaxUtilization	13	770200R00	16	Surge	Dynamic	0.989058848	SS+Surge	Fill
MaxUtilization	13	770200R00	16	PostSurge	Dynamic	0.212097625	SS+Surge	Fill
MaxUtilization	13	770200R00	16	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	13	770200R00	16	Surge	Dynamic	1	SS+Surge	Surplus
MaxUtilization	13	770200R00	16	PostSurge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	16	770200R00	4	PreSurge	Dynamic	0.621183203	SS+Surge	Fill
MaxUtilization	16	770200R00	4	Surge	Dynamic	0.591211183	SS+Surge	Fill
MaxUtilization	16	770200R00	4	PostSurge	Dynamic	0.7822641	SS+Surge	Fill
MaxUtilization	16	770200R00	4	PreSurge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	16	770200R00	4	Surge	Dynamic	6	SS+Surge	Surplus
MaxUtilization	16	770200R00	4	PostSurge	Dynamic	5	SS+Surge	Surplus
MaxUtilization	16	770200R00	8	PreSurge	Dynamic	0.027513644	SS+Surge	Fill
MaxUtilization	16	770200R00	8	Surge	Dynamic	0.721066335	SS+Surge	Fill
MaxUtilization	16	770200R00	8	PostSurge	Dynamic	0.892306519	SS+Surge	Fill
MaxUtilization	16	770200R00	8	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	16	770200R00	8	Surge	Dynamic	1	SS+Surge	Surplus
MaxUtilization	16	770200R00	8	PostSurge	Dynamic	4	SS+Surge	Surplus
MaxUtilization	16	770200R00	12	PreSurge	Dynamic	0.530213494	SS+Surge	Fill
MaxUtilization	16	770200R00	12	Surge	Dynamic	0.669036023	SS+Surge	Fill
MaxUtilization	16	770200R00	12	PostSurge	Dynamic	0.344558991	SS+Surge	Fill
MaxUtilization	16	770200R00	12	PreSurge	Dynamic	9	SS+Surge	Surplus
MaxUtilization	16	770200R00	12	Surge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	16	770200R00	12	PostSurge	Dynamic	3	SS+Surge	Surplus
MaxUtilization	16	770200R00	16	PreSurge	Dynamic	0.509451284	SS+Surge	Fill
MaxUtilization	16	770200R00	16	Surge	Dynamic	0.199215564	SS+Surge	Fill
MaxUtilization	16	770200R00	16	PostSurge	Dynamic	0.259713555	SS+Surge	Fill
MaxUtilization	16	770200R00	16	PreSurge	Dynamic	9	SS+Surge	Surplus
MaxUtilization	16	770200R00	16	Surge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	16	770200R00	16	PostSurge	Dynamic	4	SS+Surge	Surplus
MaxUtilization	19	770200R00	4	PreSurge	Dynamic	0.402749516	SS+Surge	Fill
MaxUtilization	19	770200R00	4	Surge	Dynamic	0.59721636	SS+Surge	Fill
MaxUtilization	19	770200R00	4	PostSurge	Dynamic	0.724119801	SS+Surge	Fill
MaxUtilization	19	770200R00	4	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	19	770200R00	4	Surge	Dynamic	6	SS+Surge	Surplus
MaxUtilization	19	770200R00	4	PostSurge	Dynamic	8	SS+Surge	Surplus
MaxUtilization	19	770200R00	8	PreSurge	Dynamic	0.002539132	SS+Surge	Fill
MaxUtilization	19	770200R00	8	Surge	Dynamic	0.467290547	SS+Surge	Fill
MaxUtilization	19	770200R00	8	PostSurge	Dynamic	0.644732335	SS+Surge	Fill
MaxUtilization	19	770200R00	8	PreSurge	Dynamic	6	SS+Surge	Surplus
MaxUtilization	19	770200R00	8	Surge	Dynamic	2	SS+Surge	Surplus
MaxUtilization	19	770200R00	8	PostSurge	Dynamic	5	SS+Surge	Surplus
MaxUtilization	19	770200R00	12	PreSurge	Dynamic	0.520150537	SS+Surge	Fill
MaxUtilization	19	770200R00	12	Surge	Dynamic	0.176722781	SS+Surge	Fill
MaxUtilization	19	770200R00	12	PostSurge	Dynamic	0.414360314	SS+Surge	Fill
MaxUtilization	19	770200R00	12	PreSurge	Dynamic	1	SS+Surge	Surplus
MaxUtilization	19	770200R00	12	Surge	Dynamic	4	SS+Surge	Surplus
MaxUtilization	19	770200R00	12	PostSurge	Dynamic	4	SS+Surge	Surplus
MaxUtilization	19	770200R00	16	PreSurge	Dynamic	0.975522441	SS+Surge	Fill
MaxUtilization	19	770200R00	16	Surge	Dynamic	0.931649093	SS+Surge	Fill
MaxUtilization	19	770200R00	16	PostSurge	Dynamic	0.674111591	SS+Surge	Fill
MaxUtilization	19	770200R00	16	PreSurge	Dynamic	7	SS+Surge	Surplus
MaxUtilization	19	770200R00	16	Surge	Dynamic	0	SS+Surge	Surplus
MaxUtilization	19	770200R00	16	PostSurge	Dynamic	0	SS+Surge	Surplus
Rotational	10	770200R00	4	PreSurge	Dynamic	0.542988619	SteadyState	Fill
Rotational	10	770200R00	4	Surge	Dynamic	0.894675476	SteadyState	Fill
Rotational	10	770200R00	4	PostSurge	Dynamic	0.31573259	SteadyState	Fill
Rotational	10	770200R00	4	PreSurge	Dynamic	2	SteadyState	Surplus
Rotational	10	770200R00	4	Surge	Dynamic	6	SteadyState	Surplus
Rotational	10	770200R00	4	PostSurge	Dynamic	4	SteadyState	Surplus
Rotational	10	770200R00	8	PreSurge	Dynamic	0.794511682	SteadyState	Fill
Rotational	10	770200R00	8	Surge	Dynamic	0.59219688	SteadyState	Fill
Rotational	10	770200R00	8	PostSurge	Dynamic	0.879274141	SteadyState	Fill
Rotational	10	770200R00	8	PreSurge	Dynamic	6	SteadyState	Surplus
Rotational	10	770200R00	8	Surge	Dynamic	9	SteadyState	Surplus
Rotational	10	770200R00	8	PostSurge	Dynamic	3	SteadyState	Surplus
Rotational	10	770200R00	12	PreSurge	Dynamic	0.599271709	SteadyState	Fill
Rotational	10	770200R00	12	Surge	Dynamic	0.601325523	SteadyState	Fill
Rotational	10	770200R00	12	PostSurge	Dynamic	0.953391822	SteadyState	Fill
Rotational	10	770200R00	12	PreSurge	Dynamic	7	SteadyState	Surplus
Rotational	10	770200R00	12	Surge	Dynamic	0	SteadyState	Surplus
Rotational	10	770200R00	12	PostSurge	Dynamic	0	SteadyState	Surplus
Rotational	10	770200R00	16	PreSurge	Dynamic	0.826064354	SteadyState	Fill
Rotational	10	770200R00	16	Surge	Dynamic	0.317864724	SteadyState	Fill
Rotational	10	770200R00	16	PostSurge	Dynamic	0.905715708	SteadyState	Fill
Rotational	10	770200R00	16	PreSurge	Dynamic	6	SteadyState	Surplus
Rotational	10	770200R00	16	Surge	Dynamic	1	SteadyState	Surplus
Rotational	10	770200R00	16	PostSurge	Dynamic	2	SteadyState	Surplus
Rotational	13	770200R00	4	PreSurge	Dynamic	0.062868484	SteadyState	Fill
Rotational	13	770200R00	4	Surge	Dynamic	0.574724843	SteadyState	Fill
Rotational	13	770200R00	4	PostSurge	Dynamic	0.885078167	SteadyState	Fill
Rotational	13	770200R00	4	PreSurge	Dynamic	0	SteadyState	Surplus
Rotational	13	770200R00	4	Surge	Dynamic	9	SteadyState	Surplus
Rotational	13	770200R00	4	PostSurge	Dynamic	5	SteadyState	Surplus
Rotational	13	770200R00	8	PreSurge	Dynamic	0.723434202	SteadyState	Fill
Rotational	13	770200R00	8	Surge	Dynamic	0.263360281	SteadyState	Fill
Rotational	13	770200R00	8	PostSurge	Dynamic	0.218818917	SteadyState	Fill
Rotational	13	770200R00	8	PreSurge	Dynamic	7	SteadyState	Surplus
Rotational	13	770200R00	8	Surge	Dynamic	7	SteadyState	Surplus
Rotational	13	770200R00	8	PostSurge	Dynamic	1	SteadyState	Surplus
Rotational	13	770200R00	12	PreSurge	Dynamic	0.107919858	SteadyState	Fill
Rotational	13	770200R00	12	Surge	Dynamic	0.589875534	SteadyState	Fill
Rotational	13	770200R00	12	PostSurge	Dynamic	0.046621539	SteadyState	Fill
Rotational	13	770200R00	12	PreSurge	Dynamic	8	SteadyState	Surplus
Rotational	13	770200R00	12	Surge	Dynamic	7	SteadyState	Surplus
Rotational	13	770200R00	12	PostSurge	Dynamic	4	SteadyState	Surplus
Rotational	13	770200R00	16	PreSurge	Dynamic	0.974448638	SteadyState	Fill
Rotational	13	770200R00	16	Surge	Dynamic	0.524942002	SteadyState	Fill
Rotational	13	770200R00	16	PostSurge	Dynamic	0.803976645	SteadyState	Fill
Rotational	13	770200R00	16	PreSurge	Dynamic	7	SteadyState	Surplus
Rotational	13	770200R00	16	Surge	Dynamic	5	SteadyState	Surplus
Rotational	13	770200R00	16	PostSurge	Dynamic	8	SteadyState	Surplus
Rotational	16	770200R00	4	PreSurge	Dynamic	0.758811085	SteadyState	Fill
Rotational	16	770200R00	4	Surge	Dynamic	0.657000952	SteadyState	Fill
Rotational	16	770200R00	4	PostSurge	Dynamic	0.306889611	SteadyState	Fill
Rotational	16	770200R00	4	PreSurge	Dynamic	5	SteadyState	Surplus
Rotational	16	770200R00	4	Surge	Dynamic	9	SteadyState	Surplus
Rotational	16	770200R00	4	PostSurge	Dynamic	5	SteadyState	Surplus
Rotational	16	770200R00	8	PreSurge	Dynamic	0.845139061	SteadyState	Fill
Rotational	16	770200R00	8	Surge	Dynamic	0.47768973	SteadyState	Fill
Rotational	16	770200R00	8	PostSurge	Dynamic	0.055208266	SteadyState	Fill
Rotational	16	770200R00	8	PreSurge	Dynamic	4	SteadyState	Surplus
Rotational	16	770200R00	8	Surge	Dynamic	2	SteadyState	Surplus
Rotational	16	770200R00	8	PostSurge	Dynamic	3	SteadyState	Surplus
Rotational	16	770200R00	12	PreSurge	Dynamic	0.882817607	SteadyState	Fill
Rotational	16	770200R00	12	Surge	Dynamic	0.98518248	SteadyState	Fill
Rotational	16	770200R00	12	PostSurge	Dynamic	0.622162952	SteadyState	Fill
Rotational	16	770200R00	12	PreSurge	Dynamic	2	SteadyState	Surplus
Rotational	16	770200R00	12	Surge	Dynamic	6	SteadyState	Surplus
Rotational	16	770200R00	12	PostSurge	Dynamic	9	SteadyState	Surplus
Rotational	16	770200R00	16	PreSurge	Dynamic	0.502662856	SteadyState	Fill
Rotational	16	770200R00	16	Surge	Dynamic	0.925222873	SteadyState	Fill
Rotational	16	770200R00	16	PostSurge	Dynamic	0.836490971	SteadyState	Fill
Rotational	16	770200R00	16	PreSurge	Dynamic	0	SteadyState	Surplus
Rotational	16	770200R00	16	Surge	Dynamic	8	SteadyState	Surplus
Rotational	16	770200R00	16	PostSurge	Dynamic	8	SteadyState	Surplus
Rotational	19	770200R00	4	PreSurge	Dynamic	0.393826714	SteadyState	Fill
Rotational	19	770200R00	4	Surge	Dynamic	0.462957281	SteadyState	Fill
Rotational	19	770200R00	4	PostSurge	Dynamic	0.891835601	SteadyState	Fill
Rotational	19	770200R00	4	PreSurge	Dynamic	8	SteadyState	Surplus
Rotational	19	770200R00	4	Surge	Dynamic	7	SteadyState	Surplus
Rotational	19	770200R00	4	PostSurge	Dynamic	6	SteadyState	Surplus
Rotational	19	770200R00	8	PreSurge	Dynamic	0.344220067	SteadyState	Fill
Rotational	19	770200R00	8	Surge	Dynamic	0.225043487	SteadyState	Fill
Rotational	19	770200R00	8	PostSurge	Dynamic	0.583817767	SteadyState	Fill
Rotational	19	770200R00	8	PreSurge	Dynamic	1	SteadyState	Surplus
Rotational	19	770200R00	8	Surge	Dynamic	7	SteadyState	Surplus
Rotational	19	770200R00	8	PostSurge	Dynamic	0	SteadyState	Surplus
Rotational	19	770200R00	12	PreSurge	Dynamic	0.850576031	SteadyState	Fill
Rotational	19	770200R00	12	Surge	Dynamic	0.526574297	SteadyState	Fill
Rotational	19	770200R00	12	PostSurge	Dynamic	0.92300338	SteadyState	Fill
Rotational	19	770200R00	12	PreSurge	Dynamic	0	SteadyState	Surplus
Rotational	19	770200R00	12	Surge	Dynamic	9	SteadyState	Surplus
Rotational	19	770200R00	12	PostSurge	Dynamic	4	SteadyState	Surplus
Rotational	19	770200R00	16	PreSurge	Dynamic	0.395581572	SteadyState	Fill
Rotational	19	770200R00	16	Surge	Dynamic	0.928658644	SteadyState	Fill
Rotational	19	770200R00	16	PostSurge	Dynamic	0.293532764	SteadyState	Fill
Rotational	19	770200R00	16	PreSurge	Dynamic	0	SteadyState	Surplus
Rotational	19	770200R00	16	Surge	Dynamic	9	SteadyState	Surplus
Rotational	19	770200R00	16	PostSurge	Dynamic	7	SteadyState	Surplus
Rotational	10	770200R00	4	PreSurge	Dynamic	0.641639285	SS+Surge	Fill
Rotational	10	770200R00	4	Surge	Dynamic	0.709456869	SS+Surge	Fill
Rotational	10	770200R00	4	PostSurge	Dynamic	0.810916048	SS+Surge	Fill
Rotational	10	770200R00	4	PreSurge	Dynamic	7	SS+Surge	Surplus
Rotational	10	770200R00	4	Surge	Dynamic	9	SS+Surge	Surplus
Rotational	10	770200R00	4	PostSurge	Dynamic	9	SS+Surge	Surplus
Rotational	10	770200R00	8	PreSurge	Dynamic	0.073509801	SS+Surge	Fill
Rotational	10	770200R00	8	Surge	Dynamic	0.195362345	SS+Surge	Fill
Rotational	10	770200R00	8	PostSurge	Dynamic	0.313783139	SS+Surge	Fill
Rotational	10	770200R00	8	PreSurge	Dynamic	7	SS+Surge	Surplus
Rotational	10	770200R00	8	Surge	Dynamic	4	SS+Surge	Surplus
Rotational	10	770200R00	8	PostSurge	Dynamic	9	SS+Surge	Surplus
Rotational	10	770200R00	12	PreSurge	Dynamic	0.051928491	SS+Surge	Fill
Rotational	10	770200R00	12	Surge	Dynamic	0.433022252	SS+Surge	Fill
Rotational	10	770200R00	12	PostSurge	Dynamic	0.535433985	SS+Surge	Fill
Rotational	10	770200R00	12	PreSurge	Dynamic	7	SS+Surge	Surplus
Rotational	10	770200R00	12	Surge	Dynamic	0	SS+Surge	Surplus
Rotational	10	770200R00	12	PostSurge	Dynamic	9	SS+Surge	Surplus
Rotational	10	770200R00	16	PreSurge	Dynamic	0.630767174	SS+Surge	Fill
Rotational	10	770200R00	16	Surge	Dynamic	0.302034365	SS+Surge	Fill
Rotational	10	770200R00	16	PostSurge	Dynamic	0.020966638	SS+Surge	Fill
Rotational	10	770200R00	16	PreSurge	Dynamic	6	SS+Surge	Surplus
Rotational	10	770200R00	16	Surge	Dynamic	7	SS+Surge	Surplus
Rotational	10	770200R00	16	PostSurge	Dynamic	7	SS+Surge	Surplus
Rotational	13	770200R00	4	PreSurge	Dynamic	0.701770922	SS+Surge	Fill
Rotational	13	770200R00	4	Surge	Dynamic	0.70935965	SS+Surge	Fill
Rotational	13	770200R00	4	PostSurge	Dynamic	0.660543606	SS+Surge	Fill
Rotational	13	770200R00	4	PreSurge	Dynamic	5	SS+Surge	Surplus
Rotational	13	770200R00	4	Surge	Dynamic	0	SS+Surge	Surplus
Rotational	13	770200R00	4	PostSurge	Dynamic	3	SS+Surge	Surplus
Rotational	13	770200R00	8	PreSurge	Dynamic	0.220571143	SS+Surge	Fill
Rotational	13	770200R00	8	Surge	Dynamic	0.978539774	SS+Surge	Fill
Rotational	13	770200R00	8	PostSurge	Dynamic	0.721842258	SS+Surge	Fill
Rotational	13	770200R00	8	PreSurge	Dynamic	1	SS+Surge	Surplus
Rotational	13	770200R00	8	Surge	Dynamic	6	SS+Surge	Surplus
Rotational	13	770200R00	8	PostSurge	Dynamic	6	SS+Surge	Surplus
Rotational	13	770200R00	12	PreSurge	Dynamic	0.139658318	SS+Surge	Fill
Rotational	13	770200R00	12	Surge	Dynamic	0.380370108	SS+Surge	Fill
Rotational	13	770200R00	12	PostSurge	Dynamic	0.704650108	SS+Surge	Fill
Rotational	13	770200R00	12	PreSurge	Dynamic	7	SS+Surge	Surplus
Rotational	13	770200R00	12	Surge	Dynamic	2	SS+Surge	Surplus
Rotational	13	770200R00	12	PostSurge	Dynamic	1	SS+Surge	Surplus
